"name","INCHIKEY","FORMULA","SMILES","ID","CAS","MONOISOTOPIC_MASS","parent","transformation","generation","Type","biosystem","REF","NumHDonors","NumHAcceptors"
"S-Metolachlor-TP25","MDJYDNVDKNLJLK-PXYINDEMSA-N","C15H23NO3","CC(C1=CC=CC(=C1N([C@@H](C)COC)C(=O)C)C)O","32",NA,"265.167793596","S-Metolachlor","EAWAG_RULE_BT0242_PATTERN3","2","TP","ENVMICRO","BioTransformer_env",1,3
"S-Metolachlor-TP26","OEYCXAGQPZAQQE-UHFFFAOYSA-N","C11H15NO","CCC1=CC=CC(=C1NC(=O)C)C","33",NA,"177.1153641","S-Metolachlor","EAWAG_RULE_BT0243","2","TP","ENVMICRO","BioTransformer_env",1,1
"S-Metolachlor-TP9","ARXJGSRGQADJSQ-UHFFFAOYSA-N","C4H10O2","C(C)(COC)O","34",NA,"90.06807956","S-Metolachlor","EAWAG_RULE_BT0243","2","TP","ENVMICRO","BioTransformer_env",1,2
"S-Metolachlor-TP10","YXWIRQHVEQIJOV-NSHDSACASA-N","C13H21NO","CCC1=CC=CC(=C1N[C@@H](C)COC)C","35",NA,"207.162314292","S-Metolachlor","EAWAG_RULE_BT0430","2","TP","ENVMICRO","BioTransformer_env",1,2
"S-Metolachlor-TP27","QTBSBXVTEAMEQO-UHFFFAOYSA-N","C2H4O2","C(=O)(C)O","36",NA,"60.021129368","S-Metolachlor","EAWAG_RULE_BT0430","2","TP","ENVMICRO","BioTransformer_env",1,1
"S-Metolachlor-TP13","ORVZBJIBLMBRGT-NSHDSACASA-N","C15H24NO4","CCC1=CC=CC(=C1N([C@@H](C)COC)C(=O)CO)[CH3]O","37",NA,"282.170533248","S-Metolachlor","EAWAG_RULE_BT0022_PATTERN1","2","TP","ENVMICRO","BioTransformer_env",NA,NA
"S-Metolachlor-TP28","QZYMVAUIOPEETJ-JTQLQIEISA-N","C14H19ClNO3","CCC1=CC=CC(=C1N([C@@H](C)C=O)C(=O)CCl)[CH3]O","38",NA,"284.105346148","S-Metolachlor","EAWAG_RULE_BT0023_PATTERN2","2","TP","ENVMICRO","BioTransformer_env",NA,NA
"S-Metolachlor-TP3","OKKJLVBELUTLKV-UHFFFAOYSA-N","CH4O","CO","39",NA,"32.026214748","S-Metolachlor","EAWAG_RULE_BT0023_PATTERN2","2","TP","ENVMICRO","BioTransformer_env",1,1
"S-Metolachlor-TP19","KYSBOZTWJXZJSZ-JTQLQIEISA-N","C14H21ClNO3","CCC1=CC=CC(=C1N([C@@H](C)CO)C(=O)CCl)[CH3]O","40",NA,"286.120996212","S-Metolachlor","EAWAG_RULE_BT0023_PATTERN2","2","TP","ENVMICRO","BioTransformer_env",NA,NA
"S-Metolachlor-TP24","VYEFYLOMCZQCEQ-NSHDSACASA-N","C15H24NO3","CCC1=CC=CC(=C1N([C@@H](C)COC)C(=O)C)[CH3]O","41",NA,"266.175618628","S-Metolachlor","EAWAG_RULE_BT0029","2","TP","ENVMICRO","BioTransformer_env",NA,NA
"S-Metolachlor-TP29","CTYURPSDODJTPR-VUWPPUDQSA-N","C15H23ClNO4","CC(C1=CC=CC(=C1N([C@@H](C)COC)C(=O)CCl)[CH3]O)O","42",NA,"316.131560896","S-Metolachlor","EAWAG_RULE_BT0242_PATTERN3","2","TP","ENVMICRO","BioTransformer_env",NA,NA
"S-Metolachlor-TP30","CCSNEVNGRIFNAF-UHFFFAOYSA-N","C11H15ClNO2","CCC1=CC=CC(=C1NC(=O)CCl)[CH3]O","43",NA,"228.0791314","S-Metolachlor","EAWAG_RULE_BT0243","2","TP","ENVMICRO","BioTransformer_env",NA,NA
"S-Metolachlor-TP9","ARXJGSRGQADJSQ-UHFFFAOYSA-N","C4H10O2","C(C)(COC)O","44",NA,"90.06807956","S-Metolachlor","EAWAG_RULE_BT0243","2","TP","ENVMICRO","BioTransformer_env",1,2
"S-Metolachlor-TP31","WPAUHBTXZSGDQR-JTQLQIEISA-N","C13H22NO2","CCC1=CC=CC(=C1N[C@@H](C)COC)[CH3]O","45",NA,"224.165053944","S-Metolachlor","EAWAG_RULE_BT0430","2","TP","ENVMICRO","BioTransformer_env",NA,NA
"S-Metolachlor-TP32","JQPYVRCWJNISTB-NSHDSACASA-N","C15H20ClNO3","CC(C1=CC=CC(=C1N([C@@H](C)COC)C(=O)CCl)C)=O","47",NA,"297.11317118","S-Metolachlor","EAWAG_RULE_BT0002","2","TP","ENVMICRO","BioTransformer_env",0,3
"S-Metolachlor-TP33","DANYXMFYDRFPRR-PXYINDEMSA-N","C15H23NO4","CC(C1=CC=CC(=C1N([C@@H](C)COC)C(=O)CO)C)O","48",NA,"281.162708216","S-Metolachlor","EAWAG_RULE_BT0022_PATTERN1","2","TP","ENVMICRO","BioTransformer_env",2,4
"S-Metolachlor-TP34","GORBVGOQDGEHGE-VUWPPUDQSA-N","C14H18ClNO3","CC(C1=CC=CC(=C1N([C@@H](C)C=O)C(=O)CCl)C)O","49",NA,"283.097521116","S-Metolachlor","EAWAG_RULE_BT0023_PATTERN2","2","TP","ENVMICRO","BioTransformer_env",1,3
"S-Metolachlor-TP3","OKKJLVBELUTLKV-UHFFFAOYSA-N","CH4O","CO","50",NA,"32.026214748","S-Metolachlor","EAWAG_RULE_BT0023_PATTERN2","2","TP","ENVMICRO","BioTransformer_env",1,1
"S-Metolachlor-TP35","CZABLDSDDUXPSQ-VUWPPUDQSA-N","C14H20ClNO3","CC(C1=CC=CC(=C1N([C@@H](C)CO)C(=O)CCl)C)O","51",NA,"285.11317118","S-Metolachlor","EAWAG_RULE_BT0023_PATTERN2","2","TP","ENVMICRO","BioTransformer_env",2,3
"S-Metolachlor-TP25","MDJYDNVDKNLJLK-PXYINDEMSA-N","C15H23NO3","CC(C1=CC=CC(=C1N([C@@H](C)COC)C(=O)C)C)O","52",NA,"265.167793596","S-Metolachlor","EAWAG_RULE_BT0029","2","TP","ENVMICRO","BioTransformer_env",1,3
"S-Metolachlor-TP29","CTYURPSDODJTPR-VUWPPUDQSA-N","C15H23ClNO4","CC(C1=CC=CC(=C1N([C@@H](C)COC)C(=O)CCl)[CH3]O)O","53",NA,"316.131560896","S-Metolachlor","EAWAG_RULE_BT0036","2","TP","ENVMICRO","BioTransformer_env",NA,NA
"S-Metolachlor-TP36","KTZQAUVRBLBDKH-UHFFFAOYSA-N","C11H14ClNO2","CC(C1=CC=CC(=C1NC(=O)CCl)C)O","54",NA,"227.071306368","S-Metolachlor","EAWAG_RULE_BT0243","2","TP","ENVMICRO","BioTransformer_env",2,2
"S-Metolachlor-TP9","ARXJGSRGQADJSQ-UHFFFAOYSA-N","C4H10O2","C(C)(COC)O","55",NA,"90.06807956","S-Metolachlor","EAWAG_RULE_BT0243","2","TP","ENVMICRO","BioTransformer_env",1,2
"S-Metolachlor-TP37","MXKWFIUUPUYPAD-VUWPPUDQSA-N","C13H21NO2","CC(C1=CC=CC(=C1N[C@@H](C)COC)C)O","56",NA,"223.157228912","S-Metolachlor","EAWAG_RULE_BT0430","2","TP","ENVMICRO","BioTransformer_env",2,3
"S-Metolachlor-TP14","MXMPHDJVYOMMTN-UHFFFAOYSA-N","C11H15NO2","CCC1=CC=CC(=C1NC(=O)CO)C","58",NA,"193.11027872","S-Metolachlor","EAWAG_RULE_BT0022_PATTERN1","2","TP","ENVMICRO","BioTransformer_env",2,2
"S-Metolachlor-TP26","OEYCXAGQPZAQQE-UHFFFAOYSA-N","C11H15NO","CCC1=CC=CC(=C1NC(=O)C)C","59",NA,"177.1153641","S-Metolachlor","EAWAG_RULE_BT0029","2","TP","ENVMICRO","BioTransformer_env",1,1
