group	ret	mz	EC_022024	adduct	neutralMass
M436_R185_1905	184.789	435.642889137406	376	[M-H]-	435.642889137406
M436_R808_1910	807.5255	436.170838318572	29514	[M-H]-	436.170838318572
M436_R521_1911	521.131	436.242998564457	1597	[M-H]-	436.242998564457
M436_R213_1912	213.318	436.194358692881	532	[M-H]-	436.194358692881
M436_R664_1913	664.3815	436.293790143271	911.5	[M-H]-	436.293790143271
M436_R313_1916	312.674	436.279738827623	244	[M-H]-	436.279738827623
M437_R889_1917	889.209	436.76657851313	329	[M-H]-	436.76657851313
M437_R893_1918	892.935	436.78044828413	614	[M-H]-	436.78044828413
M437_R718_1921	718.116	437.256724631984	28724	[M-H]-	437.256724631984
M437_R570_1923	569.773	437.246811385428	607	[M-H]-	437.246811385428
M437_R210_1924	209.565	437.193873649651	438	[M-H]-	437.193873649651
M437_R825_1925	824.919	437.281652633853	334378	[M-H]-	437.281652633853
M437_R700_1926	699.88	437.305442580023	2043	[M-H]-	437.305442580023
M438_R185_1927	184.789	437.63984673167	248.5	[M-H]-	437.63984673167
M438_R843_1929	843.182	437.97654521731	865.5	[M-H]-	437.97654521731
M438_R132_1930	132.323	437.921273566572	219	[M-H]-	437.921273566572
M438_R539_1931	539.352	438.141207436545	365	[M-H]-	438.141207436545
M438_R313_1933	312.674	438.220982549577	295	[M-H]-	438.220982549577
M438_R718_1935	718.116	438.239986633967	8354	[M-H]-	438.239986633967
M438_R607_1936	607.2265	438.228712655098	303	[M-H]-	438.228712655098
M438_R848_1938	848.455	438.286320953551	528	[M-H]-	438.286320953551
M438_R607_1940	607.2255	438.292665504573	258	[M-H]-	438.292665504573
M439_R892_1942	891.694	438.776926396239	895	[M-H]-	438.776926396239
M439_R817_1944	816.8865	439.031493893993	4539	[M-H]-	439.031493893993
M439_R701_1947	701.18	439.250576450621	3324.5	[M-H]-	439.250576450621
M439_R615_1948	614.718	439.251174149509	864.5	[M-H]-	439.251174149509
M439_R852_1950	851.539	439.315125596083	301	[M-H]-	439.315125596083
M439_R239_1951	238.845	439.291539514577	216	[M-H]-	439.291539514577
M440_R274_1954	273.86	439.974358037596	426	[M-H]-	439.974358037596
M440_R214_1956	214.0695	440.181603509702	452	[M-H]-	440.181603509702
M440_R844_1958	843.518	440.029238622616	764.5	[M-H]-	440.029238622616
M440_R726_1959	725.8925	440.242840076413	25677	[M-H]-	440.242840076413
M440_R853_1960	853.3885	440.32487342144	1036	[M-H]-	440.32487342144
M440_R239_1963	238.85	440.274623582709	235	[M-H]-	440.274623582709
M441_R890_1964	890.452	440.766186062329	285.5	[M-H]-	440.766186062329
M441_R892_1965	891.694	440.783849203339	589	[M-H]-	440.783849203339
M441_R736_1967	736.347	441.23327590438	1091	[M-H]-	441.23327590438
M441_R340_1968	339.613	441.252950758739	239	[M-H]-	441.252950758739
M441_R592_1969	591.559	441.223403670111	257	[M-H]-	441.223403670111
M441_R850_1970	850.3055	441.3155231992	1320	[M-H]-	441.3155231992
M441_R630_1971	629.705	441.282749577496	430	[M-H]-	441.282749577496
M442_R892_1973	891.694	441.775907303817	737	[M-H]-	441.775907303817
M442_R406_1974	406.117	442.001742082276	1427.5	[M-H]-	442.001742082276
M442_R135_1975	135.272	442.026816651095	204	[M-H]-	442.026816651095
M442_R200_1976	199.804	442.127668450996	239	[M-H]-	442.127668450996
M442_R476_1978	475.59	442.253569447554	383	[M-H]-	442.253569447554
M442_R790_1979	790.4335	442.251108905936	1630	[M-H]-	442.251108905936
M442_R316_1980	315.7625	442.238642747363	288	[M-H]-	442.238642747363
M442_R207_1983	207.314	442.217220164149	667.5	[M-H]-	442.217220164149
M442_R787_1984	786.879	442.301870990973	4386.5	[M-H]-	442.301870990973
M442_R888_1985	887.965	442.341944151791	888	[M-H]-	442.341944151791
M442_R626_1986	625.616	442.289180126346	248	[M-H]-	442.289180126346
M443_R888_1987	887.965	442.762893399508	308	[M-H]-	442.762893399508
M443_R892_1988	891.694	442.779613703235	243	[M-H]-	442.779613703235
M443_R160_1989	160.03	443.040429302594	278.5	[M-H]-	443.040429302594
M443_R624_1991	624.254	443.237290795788	240.5	[M-H]-	443.237290795788
M443_R889_1992	889.209	443.266114188463	378	[M-H]-	443.266114188463
M443_R209_1993	208.815	443.216727519996	301	[M-H]-	443.216727519996
M443_R793_1994	793.04	443.289314264849	217	[M-H]-	443.289314264849
M443_R878_1995	878.052	443.342564450646	3066.5	[M-H]-	443.342564450646
M443_R640_1996	640.4855	443.299700090146	454	[M-H]-	443.299700090146
M444_R583_1999	582.7095	444.23833430899	348	[M-H]-	444.23833430899
M444_R878_2002	878.052	444.331665576278	474	[M-H]-	444.331665576278
M444_R783_2003	782.5665	444.292016663605	544	[M-H]-	444.292016663605
M444_R608_2004	607.9065	444.310212273283	207	[M-H]-	444.310212273283
M445_R892_2005	891.694	444.773381659411	866.5	[M-H]-	444.773381659411
M445_R615_2009	614.718	445.183077290238	400	[M-H]-	445.183077290238
M445_R567_2010	567.257	445.279230151007	336.5	[M-H]-	445.279230151007
M445_R889_2011	889.209	445.344220354711	2734.5	[M-H]-	445.344220354711
M445_R781_2012	780.718	445.31584285461	1888	[M-H]-	445.31584285461
M446_R890_2014	890.452	445.76942237834	660	[M-H]-	445.76942237834
M446_R420_2018	420.261	446.191121552343	10243.5	[M-H]-	446.191121552343
M446_R207_2019	207.314	446.226760023761	512.5	[M-H]-	446.226760023761
M446_R838_2020	838.263	446.276174615913	1255.5	[M-H]-	446.276174615913
M446_R743_2022	742.8235	446.317315686891	1299	[M-H]-	446.317315686891
M446_R608_2023	607.907	446.299588416573	3181	[M-H]-	446.299588416573
M446_R296_2024	296.353	446.301189538872	647	[M-H]-	446.301189538872
M446_R374_2025	373.574	446.300834803396	7476	[M-H]-	446.300834803396
M447_R889_2026	889.209	446.766618995021	327	[M-H]-	446.766618995021
M447_R893_2027	892.935	446.7792817524	1137	[M-H]-	446.7792817524
M447_R739_2029	738.879	447.235217302769	1940	[M-H]-	447.235217302769
M447_R614_2030	614.037	447.229453248927	450.5	[M-H]-	447.229453248927
M447_R420_2031	420.261	447.194280695485	4060	[M-H]-	447.194280695485
M447_R897_2032	897.26	447.354253195746	468	[M-H]-	447.354253195746
M447_R605_2033	605.183	447.288959868018	824	[M-H]-	447.288959868018
M447_R792_2034	792.424	447.300761359597	854	[M-H]-	447.300761359597
M447_R374_2035	373.574	447.303956486727	2107.5	[M-H]-	447.303956486727
M448_R892_2037	891.694	447.774883139105	546.5	[M-H]-	447.774883139105
M448_R198_2040	198.302	448.117360503966	777.5	[M-H]-	448.117360503966
M448_R347_2041	346.688	448.139540903621	12450.5	[M-H]-	448.139540903621
M448_R601_2042	601.097	448.211728610094	251	[M-H]-	448.211728610094
M448_R210_2044	210.316	448.20051132846	331	[M-H]-	448.20051132846
M448_R878_2045	877.838	448.321834991287	1582	[M-H]-	448.321834991287
M448_R793_2046	793.04	448.31494820847	364.5	[M-H]-	448.31494820847
M448_R604_2047	603.82	448.311607238951	870	[M-H]-	448.311607238951
M448_R374_2048	373.574	448.309004631166	440.5	[M-H]-	448.309004631166
M448_R483_2049	483.398	448.300917710352	205	[M-H]-	448.300917710352
M449_R889_2050	889.209	448.765943138552	395	[M-H]-	448.765943138552
M449_R361_2051	360.838	448.954758517816	3746.5	[M-H]-	448.954758517816
M449_R892_2052	891.694	448.779723500661	924.5	[M-H]-	448.779723500661
M449_R764_2055	763.9985	449.16083617225	2119	[M-H]-	449.16083617225
M449_R656_2056	655.597	449.265357716498	1725	[M-H]-	449.265357716498
M449_R403_2059	403.288	449.31190466763	830.5	[M-H]-	449.31190466763
M449_R619_2060	618.805	449.306789692177	381	[M-H]-	449.306789692177
M449_R777_2061	777.021	449.281215472122	1033	[M-H]-	449.281215472122
M450_R889_2064	889.209	449.77382705208	557	[M-H]-	449.77382705208
M450_R374_2065	373.5715	449.948431551399	360	[M-H]-	449.948431551399
M450_R132_2067	132.323	450.096737833844	328	[M-H]-	450.096737833844
M450_R362_2068	361.5455	450.192032826297	563	[M-H]-	450.192032826297
M450_R747_2071	747.49	450.279834413168	1949	[M-H]-	450.279834413168
M450_R621_2072	620.8485	450.323118113708	397	[M-H]-	450.323118113708
M451_R892_2076	891.694	450.779162192678	633.5	[M-H]-	450.779162192678
M451_R374_2077	373.5715	450.946425325608	247	[M-H]-	450.946425325608
M451_R626_2080	625.6195	451.238076042801	352.5	[M-H]-	451.238076042801
M451_R378_2081	377.819	451.236966721589	276	[M-H]-	451.236966721589
M451_R866_2083	865.7155	451.331003482713	936	[M-H]-	451.331003482713
M451_R624_2084	623.5745	451.311066271596	615	[M-H]-	451.311066271596
M451_R768_2085	768.413	451.291578516537	1226	[M-H]-	451.291578516537
M452_R831_2090	831.202	451.790443649403	445	[M-H]-	451.790443649403
M452_R244_2091	244.1025	451.966440161863	230	[M-H]-	451.966440161863
M452_R388_2092	387.72	451.93544856834	775	[M-H]-	451.93544856834
M452_R392_2094	391.967	452.240048569187	492	[M-H]-	452.240048569187
M452_R620_2095	620.1685	452.217517731577	554.5	[M-H]-	452.217517731577
M452_R229_2096	229.085	452.203206105837	735	[M-H]-	452.203206105837
M452_R635_2098	635.156	452.293294547937	1180	[M-H]-	452.293294547937
M452_R400_2099	400.459	452.296492800349	205	[M-H]-	452.296492800349
M453_R222_2102	222.3285	453.210120242731	504.5	[M-H]-	453.210120242731
M453_R628_2103	628.341	453.250173897363	1204	[M-H]-	453.250173897363
M453_R881_2104	880.527	453.299798331968	10794	[M-H]-	453.299798331968
M453_R403_2105	403.288	453.314398836627	1627	[M-H]-	453.314398836627
M453_R750_2106	749.951	453.281986867684	11821	[M-H]-	453.281986867684
M453_R585_2107	584.747	453.297603272497	460	[M-H]-	453.297603272497
M454_R890_2109	890.452	453.776630106843	327	[M-H]-	453.776630106843
M454_R266_2110	265.874	453.972624764302	482.5	[M-H]-	453.972624764302
M454_R328_2111	328.292	454.137223195377	1035	[M-H]-	454.137223195377
M454_R207_2113	207.314	454.179278659775	289	[M-H]-	454.179278659775
M454_R628_2114	628.341	454.236086721248	427	[M-H]-	454.236086721248
M454_R246_2117	246.36	454.290935227279	3246	[M-H]-	454.290935227279
M454_R399_2118	399.043	454.318576277141	427	[M-H]-	454.318576277141
M455_R892_2120	891.694	454.778798940272	602	[M-H]-	454.778798940272
M455_R328_2122	328.292	455.141354660109	218.5	[M-H]-	455.141354660109
M455_R626_2125	625.616	455.265958347376	476	[M-H]-	455.265958347376
M455_R867_2126	866.548	455.287548238658	1654	[M-H]-	455.287548238658
M455_R246_2128	246.36	455.294179482414	909	[M-H]-	455.294179482414
M456_R890_2129	890.452	455.773882325915	392.5	[M-H]-	455.773882325915
M456_R209_2135	208.815	456.208762999257	390	[M-H]-	456.208762999257
