"ID","CAS","INCHIKEY","FORMULA","MONOISOTOPIC_MASS","SMILES"
"DTXSID00380056","307-46-0","MPAMAEMOVKLPRB-UHFFFAOYSA-N","C11H3F21O","549.984857336","OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
"DTXSID00380753","68734-62-3","XMIPIKYUVSCYKT-UHFFFAOYSA-N","C7H9F9O3SSi","371.989795658","C[Si](C)(C)OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
"DTXSID00380798","330562-44-2","BFMDZOWJRVLYPB-UHFFFAOYSA-N","C8H6F12O5","410.002361932","OCC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)CO"
"DTXSID00382070","423-46-1","QZFZPVVDBGXQTB-UHFFFAOYSA-N","C6H3F11O","300.000825136","OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
"DTXSID00382151","136049-37-1","TXHZECVJWFWGDH-UHFFFAOYSA-N","C7H9F9O4SSi","387.984710278","C[Si](C)(C)OS(=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)F"
"DTXSID00382171","90999-87-4","KKVIDVONCZYZLR-UHFFFAOYSA-N","C5H5F7O","214.02286232","OCCC(F)(C(F)(F)F)C(F)(F)F"
"DTXSID00382353","102488-50-6","XHHTUOVNMZYWFH-UHFFFAOYSA-N","C14H4Cl3F25Si","779.874865198","FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[Si](Cl)(Cl)Cl"
"DTXSID00395302","284472-92-0","RTNPUWLBWXIECX-UHFFFAOYSA-N","C42H12F51P","1515.986226234","FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1ccc(P(c2ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2)c2ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2)cc1"
"DTXSID00399941","42409-05-2","SZQVETPSXXBSDR-UHFFFAOYSA-N","C6H3F9O3S","325.965918936","C=COS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
"DTXSID00404882","377-66-2","KPTAUHCSUNOZRL-UHFFFAOYSA-N","C6H6F7NO2","257.028675972","O=C(NCCO)C(F)(F)C(F)(F)C(F)(F)F"
