"ID","CAS","INCHIKEY","FORMULA","MONOISOTOPIC_MASS","SMILES"
48,NA,"HQIKMYJOLJOSOX-UHFFFAOYSA-N","C9H13F9N2O3S",400.050317256,"C[N+](C)([O-])CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
49,NA,"LENDGRWTJNFJQE-UHFFFAOYSA-O","C22H22F17N2O2",669.140982684,"C[N+](C)(C)CCCN=C(O)c1ccc(OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC(F)(F)F)cc1"
50,NA,"IEIYQVSGMNXXNU-UHFFFAOYSA-N","C15H16F19N2OS",633.067995312,"C[N+](C)(C)CCCNS(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
51,NA,"ZGBMFNJIPSRTBS-UHFFFAOYSA-O","C17H18F17N2O3",621.104597176,"C[N+](C)(CCCN=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CCC(=O)O"
52,NA,"ZYEKBRZVGPYUIW-UHFFFAOYSA-N","C9H5F11O2",354.01138982,"C=C(C)C(=O)OC(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F"
53,NA,"JXVINEGBEPHVPO-UHFFFAOYSA-N","C8H5F9O2",304.01458338,"C=C(C)C(=O)OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F"
54,NA,"DAUQEQSACMZHDS-UHFFFAOYSA-N","C7H5F7O2",254.01777694,"C=C(C)C(=O)OC(F)(C(F)(F)F)C(F)(F)F"
55,NA,"HEFHMJVNMXDZKE-UHFFFAOYSA-N","C11H5F15O2",454.0050027,"C=C(C)C(=O)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
56,NA,"BWIUYRXKEFSAJX-UHFFFAOYSA-N","C9H5F11O2",354.01138982,"C=C(C)C(=O)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
57,"41123-44-8","KDUYSMPJTYKVBA-UHFFFAOYSA-N","C15H8F20O2",600.020493896,"C=C(C)C(=O)OC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CF"
58,NA,"QWUFNQYGXMUGOZ-UHFFFAOYSA-N","C25H7F41O2",1117.979136484,"C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
59,"48077-86-7","QDIWIWGKFGVURE-UHFFFAOYSA-N","C15H7F21O2",618.011072084,"C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
60,NA,"NSSMHXVPVQADLY-UHFFFAOYSA-N","C14H7F19O2",568.014265644,"C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
61,"48077-33-4","ZDXYSIRXXGOEEA-UHFFFAOYSA-N","C13H7F17O2",518.017459204,"C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
62,"1841-46-9","XAENZTGUQXVFPQ-UHFFFAOYSA-N","C13H8F16O2",500.026881016,"C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F"
63,"3934-23-4","RUEKTOVLVIXOHT-UHFFFAOYSA-N","C12H7F15O2",468.020652764,"C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
64,"48076-44-4","OGTUUPXNYCOCKQ-UHFFFAOYSA-N","C11H7F13O2",418.023846324,"C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
65,"2261-99-6","YJKHMSPWWGBKTN-UHFFFAOYSA-N","C11H8F12O2",400.033268136,"C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F"
66,NA,"AMFSMDRXAVOFCS-UHFFFAOYSA-N","C10H7F11O2",368.027039884,"C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
67,"59006-65-4","XBZLJCYNLZUIGP-UHFFFAOYSA-N","C9H7F9O2",318.030233444,"C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
68,"355-93-1","ZNJXRXXJPIFFAO-UHFFFAOYSA-N","C9H8F8O2",300.039655256,"C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F"
69,"13695-31-3","VIEHKBXCWMMOOU-UHFFFAOYSA-N","C8H7F7O2",268.033427004,"C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)F"
70,"64376-86-9","DFVPUWGVOPDJTC-UHFFFAOYSA-N","C8H8F6O2",250.042848816,"C=C(C)C(=O)OCC(F)(F)C(F)C(F)(F)F"
71,NA,"LZKRGSPBGVICLV-UHFFFAOYSA-N","C12H11F11O3",412.053254632,"C=C(C)C(=O)OCC(O)CC(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F"
72,NA,"RPDBRTLKDYJCCE-UHFFFAOYSA-N","C14H11F15O3",512.046867512,"C=C(C)C(=O)OCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F"
73,NA,"WNVNMSONKCMAPU-UHFFFAOYSA-N","C16H11F19O3",612.040480392,"C=C(C)C(=O)OCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F"
74,NA,"DCXZWVLJCYXHDV-UHFFFAOYSA-N","C15H11F17O3",562.043673952,"C=C(C)C(=O)OCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
75,NA,"QJNMSQFOKUQZBA-UHFFFAOYSA-N","C13H11F13O3",462.050061072,"C=C(C)C(=O)OCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
76,NA,"BCTGGJURYOEMFV-UHFFFAOYSA-N","C11H11F9O3",362.056448192,"C=C(C)C(=O)OCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
77,NA,"DZZAHYHMWKNGLC-UHFFFAOYSA-N","C11H7F11O2",380.027039884,"C=C(C)C(=O)OCC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F"
78,NA,"JTEKNLSWXJADLG-UHFFFAOYSA-N","C11H9F11O2",382.042689948,"C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F"
79,NA,"ZLBLHEUUSFNQAN-UHFFFAOYSA-N","C12H12F10O2",378.067761824,"C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(C)(F)F"
80,NA,"SAIYGCOTLRCBJP-UHFFFAOYSA-N","C13H9F15O2",482.036302828,"C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F"
81,"15166-00-4","KTPONRIHDUNNPD-UHFFFAOYSA-N","C15H9F19O2",582.029915708,"C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F"
82,"74256-14-7","PVMWMBHAEVDBQR-UHFFFAOYSA-N","C17H9F23O2",682.023528588,"C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F"
83,"74256-15-8","NZSKSDOUVOVFHC-UHFFFAOYSA-N","C19H9F27O2",782.017141468,"C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F"
84,"94158-64-2","WSPGUHLVXPTGNB-UHFFFAOYSA-N","C21H9F31O2",882.010754348,"C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F"
85,"94158-65-3","BEMICOOQLAQVTK-UHFFFAOYSA-N","C23H9F35O2",982.004367228,"C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F"
86,"65104-66-7","OWAQRMVKMUUGIA-UHFFFAOYSA-N","C24H9F37O2",1032.001173668,"C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
87,"59778-97-1","XLGBPNZHUPJRPB-UHFFFAOYSA-N","C22H9F33O2",932.007560788,"C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
88,"4980-53-4","KLVRPMUTIRAYBC-UHFFFAOYSA-N","C20H9F29O2",832.013947908,"C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
89,"6014-75-1","LFEGLDRNIDJMKB-UHFFFAOYSA-N","C18H9F25O2",732.020335028,"C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
90,"162953-69-7","FQHLOOOXLDQLPF-UHFFFAOYSA-N","C16H9F21O2",632.026722148,"C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
91,"119938-07-7","HBZFBSFGXQBQTB-UHFFFAOYSA-N","C14H9F17O2",532.033109268,"C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
92,"116426-23-4","CDXFIRXEAJABAZ-UHFFFAOYSA-N","C12H9F13O2",432.039496388,"C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
93,"1799-84-4","TYNRPOFACABVSI-UHFFFAOYSA-N","C10H9F9O2",332.045883508,"C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
94,NA,"VZOWCSFBTSNJKX-UHFFFAOYSA-N","C9H9F7O2",282.049077068,"C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)F"
95,NA,"QOIKFYLOUXBJNG-UHFFFAOYSA-N","C15H11F17O2",546.048759332,"C=C(C)C(=O)OCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
96,NA,"AIIUJTLQIOPZBE-UHFFFAOYSA-N","C13H11F13O2",446.055146452,"C=C(C)C(=O)OCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
97,NA,"WOISXUMMZSMYSB-UHFFFAOYSA-N","C11H11F9O2",346.061533572,"C=C(C)C(=O)OCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
98,NA,"VQOPAPHAKJCJTK-UHFFFAOYSA-N","C10H9F7O4",326.038906308,"C=C(C)C(=O)OCCOC(=O)C(F)(F)C(F)(F)C(F)(F)F"
99,"30769-91-6","LDEYRMSHMYWNMA-UHFFFAOYSA-N","C13H9F15OS",498.013459208,"C=C(C)C(=O)SCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F"
