"ID","CAS","INCHIKEY","FORMULA","MONOISOTOPIC_MASS","SMILES"
"DTXSID60896284","CAS_RN: 304435-61-8","AFOVRKBVJMNTSC-UHFFFAOYSA-N","C17H18F7N3O3",445.123638976,"COc1cc2c(cc1OC)C(NNC(=O)C(F)(F)C(F)(F)C(F)(F)F)=NC(C)(C)C2"
"DTXSID40895937","CAS_RN: 117374-32-0","AFQCXIHNDWCQHP-UHFFFAOYSA-N","C14H11F17O2",534.048759332,"CC(C)CCOC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
"DTXSID40895210","CAS_RN: 133310-68-6","AFRUDOKTWQGZAU-UHFFFAOYSA-N","C18H29F9",416.212554908,"CCCCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
"DTXSID90218051","CAS_RN: 678-41-1","AFWOYEYXUDHGHF-UHFFFAOYSA-N","C20H9F34O4P",989.969554878,"O=P(O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
"","CAS_RN: 106065-05-8","AFXHAJXBZYXHDO-UHFFFAOYSA-N","C10CrF9N1O5",436.9037834,NA
"DTXSID90705597","CAS_RN: 308-45-2","AGAHTUDKCJGVDX-UHFFFAOYSA-N","C8H2F14O2",395.983124384,"O=C(OCC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F"
"DTXSID90880439","CAS_RN: 40143-76-8","AGCUFKNHQDVTAD-UHFFFAOYSA-N","C6H2F13O3P",399.953397414,"O=P(O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
"DTXSID10892473","CAS_RN: 67584-42-3","AGFWEBMALSMQMX-UHFFFAOYSA-N","C8HF15O3S",461.940688192,"O=S(=O)(O)C1(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F"
"DTXSID70191136","CAS_RN: 377-73-1","AGIMOOYNBDLMJV-UHFFFAOYSA-N","C4HF7O3",229.981391432,"O=C(O)C(F)(F)C(F)(F)OC(F)(F)F"
"DTXSID20881171","CAS_RN: 94200-44-9","AGKXMXVIKUJGIA-UHFFFAOYSA-N","C19H8F33O5P",973.958241246,"O=P(O)(O)OCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
"","CAS_RN: 93894-66-7","AGKZAFDQVNHYRO-UHFFFAOYSA-N","C12H10F17NO4S",587.00590854,"O=S(=O)(N(CCO)CCO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F"
"DTXSID30895421","CAS_RN: 2837-34-5","AGPPLHDXJQVLSS-UHFFFAOYSA-N","C25H36F15I",748.162222452,"CCCCCCCCCCCCCCCCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
"DTXSID80881137","CAS_RN: 94158-62-0","AGXPCTAFKVXMEO-UHFFFAOYSA-N","C20H23F19O4",688.129295396,"CCCCOCCOCCOCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F"
"",NA,"AGZBRDLKFIACID-OWOJBTEDSA-N","C11HF19O2",525.967315452,"O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)/C(F)=C(\F)C(F)(F)C(F)(F)C(F)(F)F"
"DTXSID90897022","CAS_RN: 2967-59-1","AHAQXHMPHGIPBT-UHFFFAOYSA-N","C12H10F14N2O2",480.05187264,"O=C(NCCCCNC(=O)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F"
"DTXSID40447475","CAS_RN: 135841-49-5","AHGSEBBCGYXEBF-UHFFFAOYSA-N","C9H9F13Si",392.026593678,"C[Si](C)(C)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
"DTXSID7074909","CAS_RN: 218462-19-2","NOPJRYAFUXTDLX-UHFFFAOYSA-N","C4H3F7O",200.007212256,"COC(F)(F)C(F)(F)C(F)(F)F"
