PREFERRED_NAME,LIST_ID,INCHIKEY,FORMULA,MONOISOTOPIC_MASS,SMILES,NumHDonors,NumHAcceptors,TYPE,MD,KMD,modulo,parent,rep_unit,rep_mass,rep_num,residual,residual_charge,residual_mass,ACRONYM
"1-[Di(propan-2-yl)amino]-3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctan-2-ol",OECDPFAS_list_22012019.csv,JUWKOBUPPPSOGZ-UHFFFAOYSA-N,C14H18F13NO,463.1180803,CC(C)N(CC(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(C)C,1,2,Suspect,0.1180803,-0.147662097,13.14682234,C14H18F13NO,CF2,49.99680644,6,C8H18F1N1O1,neutral,163.1372424,NA
"N-Decyl-2,2,3,3,4,4,4-heptafluorobutanamide",OECDPFAS_list_22012019.csv,MJKJTIXPWVPDKF-UHFFFAOYSA-N,C14H22F7NO,353.1589615,CCCCCCCCCCNC(=O)C(F)(F)C(F)(F)C(F)(F)F,1,1,Suspect,0.1589615,-0.181519627,3.18131642,C14H22F7NO,CF2,49.99680644,3,C11H22F1N1O1,neutral,203.1685425,NA
4-Amino-2-(undecafluoropentyl)benzonitrile,OECDPFAS_list_22012019.csv,PINWBOMNCWQGMS-UHFFFAOYSA-N,C12H5F11N2,386.027708,Nc1ccc(C#N)c(c1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,2,Suspect,0.027708,-0.052365628,36.05006292,C12H5F11N2,CF2,49.99680644,5,C7H5F1N2,neutral,136.0436764,NA
"N-(2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Pentadecafluorooctyl)prop-2-enamide",OECDPFAS_list_22012019.csv,GZUJPJBXZUVMML-UHFFFAOYSA-N,C11H6F15NO,453.0209863,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CNC(=O)C=C,1,1,Suspect,0.0209863,-0.049923142,3.04972834,C11H6F15NO,CF2,49.99680644,7,C4H6F1N1O1,neutral,103.043342,NA
3-(Nonafluorobutyl)-1H-indole,OECDPFAS_list_22012019.csv,OCWLROAYBFHECC-UHFFFAOYSA-N,C12H6F9N,335.0356527,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)c1cNc2ccccc12,1,0,Suspect,0.0356527,-0.057053196,35.05481406,C12H6F9N,CF2,49.99680644,4,C8H6F1N1,neutral,135.0484274,NA
"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-Heptadecafluoro-N-pentylnonanamide",OECDPFAS_list_22012019.csv,VAZPBMQLECGKFX-UHFFFAOYSA-N,C14H12F17NO,533.0647428,CCCCCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,1,Suspect,0.0647428,-0.09879246,33.0966784,C14H12F17NO,CF2,49.99680644,8,C6H12F1N1O1,neutral,133.0902922,NA
"2,2,3,3,4,4,5,5,6,6,7,7,7-Tridecafluoro-N-(2-hydroxyethyl)heptanamide",OECDPFAS_list_22012019.csv,NRAFXYRAMCXRGD-UHFFFAOYSA-N,C9H6F13NO2,407.0190946,OCCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2,2,Suspect,0.0190946,-0.045093059,7.04464308,C9H6F13NO2,CF2,49.99680644,6,C3H6F1N1O2,neutral,107.0382567,NA
"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-Heptadecafluoro-N-octylnonanamide",OECDPFAS_list_22012019.csv,HFBBZVYAWZNJKL-UHFFFAOYSA-N,C17H18F17NO,575.111693,CCCCCCCCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,1,Suspect,0.111693,-0.14842842,25.14682216,C17H18F17NO,CF2,49.99680644,8,C9H18F1N1O1,neutral,175.1372424,NA
"N-(4-Bromophenyl)-2,2,3,3,4,4,4-heptafluorobutanamide",OECDPFAS_list_22012019.csv,GZPNVRALAPIZMQ-UHFFFAOYSA-N,C10H5BrF7NO,366.944274,FC(F)(F)C(F)(F)C(F)(F)C(=O)Nc1ccc(Br)cc1,1,1,Suspect,-0.055726,0.032287332,16.96662892,C10H5BrF7NO,CF2,49.99680644,3,C7H5F1N1O1Br1,neutral,216.9538541,NA
"N-Dodecyl-2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-heptadecafluorononanamide",OECDPFAS_list_22012019.csv,PUJWRMJJJYQDFD-UHFFFAOYSA-N,C21H26F17NO,631.1742932,CCCCCCCCCCCCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,1,Suspect,0.1742932,-0.214609635,31.21261592,C21H26F17NO,CF2,49.99680644,8,C13H26F1N1O1,neutral,231.1998427,NA
